State,Year,South,UnemPct,PresApprov
Alabama,1977,1,NA,NA
Alabama,1978,1,NA,NA
Alabama,1979,1,NA,NA
Alabama,1980,1,8.4,30
Alabama,1981,1,9.7,60
Alabama,1982,1,13.2,40
Alabama,1983,1,12.8,39
Alabama,1984,1,10.2,58
Alabama,1985,1,8.6,55
Alabama,1986,1,9.1,62
Alabama,1987,1,7.6,56
Alabama,1988,1,6.9,56
Alabama,1989,1,6.6,52
Alabama,1990,1,6.3,48
Alabama,1991,1,6.9,56
Alabama,1992,1,6.9,47
Alabama,1993,1,6.6,31
Alabama,1994,1,5.4,31
Alabama,1995,1,5.2,35
Alabama,1996,1,4.5,34
Alabama,1997,1,4.4,39
Alabama,1998,1,3.9,55
Alabama,1999,1,NA,NA
Alabama,2000,1,NA,NA
Alabama,2001,1,NA,NA
Alabama,2002,1,NA,NA
Alabama,2003,1,5.4,66
Alabama,2004,1,NA,NA
Alabama,2005,1,3.8,50
Alabama,2006,1,3.5,45
Alabama,2007,1,3.5,44
Alabama,2008,1,5,42
Alaska,1977,0,NA,NA
Alaska,1978,0,NA,NA
Alaska,1979,0,NA,NA
Alaska,1980,0,NA,NA
Alaska,1981,0,NA,NA
Alaska,1982,0,NA,NA
Alaska,1983,0,NA,NA
Alaska,1984,0,NA,NA
Alaska,1985,0,NA,NA
Alaska,1986,0,NA,NA
Alaska,1987,0,NA,NA
Alaska,1988,0,NA,NA
Alaska,1989,0,NA,NA
Alaska,1990,0,NA,NA
Alaska,1991,0,NA,NA
Alaska,1992,0,NA,NA
Alaska,1993,0,NA,NA
Alaska,1994,0,7.5,39
Alaska,1995,0,NA,NA
Alaska,1996,0,7.5,36
Alaska,1997,0,NA,NA
Alaska,1998,0,NA,NA
Alaska,1999,0,NA,NA
Alaska,2000,0,NA,NA
Alaska,2001,0,NA,NA
Alaska,2002,0,NA,NA
Alaska,2003,0,NA,NA
Alaska,2004,0,NA,NA
Alaska,2005,0,6.9,50
Alaska,2006,0,6.5,48
Alaska,2007,0,6.2,42
Alaska,2008,0,6.7,39
Arizona,1977,0,NA,NA
Arizona,1978,0,NA,NA
Arizona,1979,0,NA,NA
Arizona,1980,0,NA,NA
Arizona,1981,0,NA,NA
Arizona,1982,0,NA,NA
Arizona,1983,0,NA,NA
Arizona,1984,0,NA,NA
Arizona,1985,0,NA,NA
Arizona,1986,0,NA,NA
Arizona,1987,0,NA,NA
Arizona,1988,0,NA,NA
Arizona,1989,0,NA,NA
Arizona,1990,0,NA,NA
Arizona,1991,0,5.7,76
Arizona,1992,0,NA,NA
Arizona,1993,0,6.4,32
Arizona,1994,0,6.1,36
Arizona,1995,0,5.3,26
Arizona,1996,0,5.5,37
Arizona,1997,0,4.6,49
Arizona,1998,0,4.3,45
Arizona,1999,0,4.5,66
Arizona,2000,0,4,42
Arizona,2001,0,4.7,79
Arizona,2002,0,6,66
Arizona,2003,0,5.7,69
Arizona,2004,0,5,48
Arizona,2005,0,4.6,48
Arizona,2006,0,4.1,45
Arizona,2007,0,3.8,36
Arizona,2008,0,5.5,34
Arkansas,1977,1,NA,NA
Arkansas,1978,1,NA,NA
Arkansas,1979,1,NA,NA
Arkansas,1980,1,NA,NA
Arkansas,1981,1,NA,NA
Arkansas,1982,1,NA,NA
Arkansas,1983,1,NA,NA
Arkansas,1984,1,NA,NA
Arkansas,1985,1,NA,NA
Arkansas,1986,1,NA,NA
Arkansas,1987,1,NA,NA
Arkansas,1988,1,NA,NA
Arkansas,1989,1,NA,NA
Arkansas,1990,1,NA,NA
Arkansas,1991,1,7.2,63
Arkansas,1992,1,NA,NA
Arkansas,1993,1,6.1,39
Arkansas,1994,1,5.3,47
Arkansas,1995,1,4.8,38
Arkansas,1996,1,5.1,49
Arkansas,1997,1,5.1,54
Arkansas,1998,1,5,61
Arkansas,1999,1,NA,NA
Arkansas,2000,1,NA,NA
Arkansas,2001,1,4.7,87
Arkansas,2002,1,5.3,70
Arkansas,2003,1,5.8,47
Arkansas,2004,1,5.6,50
Arkansas,2005,1,5.1,38
Arkansas,2006,1,5.2,37
Arkansas,2007,1,5.1,30
Arkansas,2008,1,5.1,27
California,1977,0,8.3,53
California,1978,0,NA,NA
California,1979,0,NA,NA
California,1980,0,NA,NA
California,1981,0,7.4,64
California,1982,0,NA,NA
California,1983,0,NA,NA
California,1984,0,7.8,16
California,1985,0,NA,NA
California,1986,0,NA,NA
California,1987,0,NA,NA
California,1988,0,NA,NA
California,1989,0,5.1,42
California,1990,0,5.8,63
California,1991,0,7.8,82
California,1992,0,9.4,46
