DistNumber,Year,CycleSwitch,AfterSwitch,AvgSalary
4800001,2003,0,0,41609.88922
4800001,2004,0,0,40459.74241
4800001,2005,0,0,39703.41132
4800001,2006,0,0,40632.97488
4800001,2007,0,1,40141.16871
4800001,2008,0,1,39457.00214
4800001,2009,0,1,40893.04531
4800002,2003,0,0,41481.16102
4800002,2004,0,0,40629.60371
4800002,2005,0,0,40213.81628
4800002,2006,0,0,42677.71928
4800002,2007,0,1,42329.8922
4800002,2008,0,1,42815.9994
4800002,2009,0,1,44833.22637
4800003,2003,0,0,42908.58502
4800003,2004,0,0,39304.93558
4800003,2005,0,0,38594.58689
4800003,2006,0,0,41782.02891
4800003,2007,0,1,40847.75398
4800003,2008,0,1,42402.98263
4800003,2009,0,1,43094.56279
4800005,2003,0,0,40217.57485
4800005,2004,0,0,37132.08962
4800005,2005,0,0,35672.9909
4800005,2006,0,0,40849.23432
4800005,2007,0,1,40692.229
4800005,2008,0,1,42034.0176
4800005,2009,0,1,43355.253
4800006,2003,0,0,41542.00858
4800006,2004,0,0,41542.7217
4800006,2005,0,0,42791.09881
4800006,2006,0,0,43807.69868
4800006,2007,0,1,43097.27536
4800006,2008,0,1,42070.99385
4800006,2009,0,1,40738.86306
4800007,2003,1,0,41839.20781
4800007,2004,1,0,40200.97079
4800007,2005,1,0,38027.01013
4800007,2006,1,0,37486.90175
4800007,2007,1,1,39840.41236
4800007,2008,1,1,41772.98475
4800007,2009,1,1,43067.89833
4800008,2003,0,0,44441.29235
4800008,2004,0,0,44486.19811
4800008,2005,0,0,44660.01402
4800008,2006,0,0,46620.91302
4800008,2007,0,1,47405.7385
4800008,2008,0,1,47287.97827
4800008,2009,0,1,48049.37823
4800009,2003,0,0,47023.45838
4800009,2004,0,0,44181.82409
4800009,2005,0,0,44599.49052
4800009,2006,0,0,47458.30121
4800009,2007,0,1,47664.27146
4800009,2008,0,1,48511.00764
4800009,2009,0,1,49386.25405
4800010,2003,0,0,44127.71368
4800010,2004,0,0,43193.47616
4800010,2005,0,0,42410.50488
4800010,2006,0,0,43491.78791
4800010,2007,0,1,43530.8768
4800010,2008,0,1,42826.98476
4800010,2009,0,1,43757.84381
4800011,2003,0,0,43797.79835
4800011,2004,0,0,43614.10937
4800011,2005,0,0,43068.30906
4800011,2006,0,0,46394.09218
4800011,2007,0,1,45158.278
4800011,2008,0,1,45455.98174
4800011,2009,0,1,45382.56251
4800012,2003,0,0,41084.54669
4800012,2004,0,0,40121.15242
4800012,2005,0,0,39829.8892
4800012,2006,0,0,41532.93715
4800012,2007,0,1,40833.30407
4800012,2008,0,1,40293.01204
4800012,2009,0,1,41419.37555
4807350,2003,0,0,47269.17643
4807350,2004,0,0,46219.03667
4807350,2005,0,0,45464.08895
4807350,2006,0,0,46658.00839
4807350,2007,0,1,46169.7398
4807350,2008,0,1,46675.00916
4807350,2009,0,1,48430.29843
4807380,2003,0,0,43260.75467
4807380,2004,0,0,44778.06195
4807380,2005,0,0,43981.29625
4807380,2006,0,0,42485.84137
4807380,2007,0,1,41386.44515
4807380,2008,0,1,41470.99547
4807380,2009,0,1,43150.32797
4807410,2003,0,0,46220.8439
4807410,2004,0,0,44180.68645
4807410,2005,0,0,43098.01518
4807410,2006,0,0,43725.01404
4807410,2007,0,1,41962.20345
4807410,2008,0,1,41149.99231
4807410,2009,0,1,43037.18687
4807440,2003,0,0,46310.94221
4807440,2004,0,0,45427.85617
4807440,2005,0,0,44227.69084
4807440,2006,0,0,46009.30642
4807440,2007,0,1,44971.84234
4807440,2008,0,1,44526.01088
4807440,2009,0,1,45379.57627
4807470,2003,0,0,42982.30574
4807470,2004,0,0,44140.80358
4807470,2005,0,0,42573.2873
4807470,2006,0,0,44607.99801
4807470,2007,0,1,45195.3733
4807470,2008,0,1,45160.99126
4807470,2009,0,1,46190.96757
4807500,2003,0,0,43304.05458
4807500,2004,0,0,41425.30107
4807500,2005,0,0,43459.90378
4807500,2006,0,0,44569.81209
4807500,2007,0,1,42991.16074
4807500,2008,0,1,40996.01416
4807500,2009,0,1,42610.20966
4807530,2003,0,0,41255.3786
4807530,2004,0,0,42875.41107
4807530,2005,0,0,43088.11086
4807530,2006,0,0,44994.87936
4807530,2007,0,1,42029.16738
4807530,2008,0,1,41244.99304
4807530,2009,0,1,41075.30094
4807590,2003,0,0,54042.27949
4807590,2004,0,0,52950.73103
4807590,2005,0,0,52201.59396
4807590,2006,0,0,53242.75387
4807590,2007,0,1,54781.56278
4807590,2008,0,1,54550.97525
4807590,2009,0,1,55821.23916
4807650,2003,0,0,40190.65902
4807650,2004,0,0,39467.95373
4807650,2005,0,0,39304.11094
4807650,2006,0,0,41935.71971
4807650,2007,0,1,39825.97696
4807650,2008,0,1,38787.01176
4807650,2009,0,1,39095.84509
4807680,2003,0,0,44042.32488
4807680,2004,0,0,41632.7922
4807680,2005,0,0,40427.18942
4807680,2006,0,0,41721.58577
4807680,2007,0,1,42036.3427
4807680,2008,0,1,41392.99756
4807680,2009,0,1,44051.10418
4807710,2003,0,0,52055.63457
4807710,2004,0,0,51966.89696
4807710,2005,0,0,50667.07926
4807710,2006,0,0,51540.36389
4807710,2007,0,1,50730.61139
4807710,2008,0,1,50548.0142
4807710,2009,0,1,51698.13936
4807780,2003,0,0,47080.80532
4807780,2004,0,0,46116.40518
4807780,2005,0,0,44935.01622
4807780,2006,0,0,48016.94617
4807780,2007,0,1,47534.48922
4807780,2008,0,1,48530.99768
4807780,2009,0,1,48866.63855
4807800,2003,0,0,44828.56617
4807800,2004,0,0,43384.99153
4807800,2005,0,0,43235.51296
4807800,2006,0,0,44028.17247
4807800,2007,0,1,42878.88679
4807800,2008,0,1,41346.009
4807800,2009,0,1,42635.8182
4807830,2003,1,0,51618.0345
4807830,2004,1,0,51101.63684
4807830,2005,1,0,50468.00685
4807830,2006,1,0,51838.25133
