dteday,instant,season,yr,mnth,holiday,weekday,workingday,weathersit,tempC,atempC,windMPH,hum_prop,casual,registered,cnt,temp,atemp,hum,windspeed
2011-01-01,1,1,0,1,0,6,0,2,8.175849,7.99925,10.749882,0.805833,331,654,985,0.344167,0.363625,0.805833,0.160446
2011-01-02,2,1,0,1,0,0,0,2,9.083466000000001,7.3467740000000035,16.652113,0.696087,131,670,801,0.363478,0.353739,0.696087,0.248539
2011-01-03,3,1,0,1,0,1,1,1,1.229108,-3.499270000000001,16.636703,0.437273,120,1229,1349,0.196364,0.189405,0.437273,0.248309
2011-01-04,4,1,0,1,0,2,1,1,1.4000000000000004,-1.9999479999999998,10.739832,0.590435,108,1454,1562,0.2,0.212122,0.590435,0.160296
2011-01-05,5,1,0,1,0,3,1,1,2.6669789999999995,-0.8681800000000006,12.522300000000001,0.436957,82,1518,1600,0.226957,0.22927,0.436957,0.1869
2011-01-06,6,1,0,1,0,4,1,1,1.6043559999999992,-0.6082059999999991,6.0008684,0.518261,88,1518,1606,0.204348,0.233209,0.518261,0.0895652
2011-01-07,7,1,0,1,0,5,1,2,1.2365340000000007,-2.2166259999999998,11.304642,0.498696,148,1362,1510,0.196522,0.208839,0.498696,0.168726
2011-01-08,8,1,0,1,0,6,0,2,-0.24499999999999922,-5.291236,17.875868,0.535833,68,891,959,0.165,0.162254,0.535833,0.266804
2011-01-09,9,1,0,1,0,0,0,1,-1.4983489999999993,-8.33245,24.25065,0.434167,54,768,822,0.138333,0.116175,0.434167,0.36195
2011-01-10,10,1,0,1,0,1,1,1,-0.9108490000000007,-6.041392,14.958889,0.482917,41,1280,1321,0.150833,0.150888,0.482917,0.223267
2011-01-11,11,1,0,1,0,2,1,2,-0.0527230000000003,-3.3633760000000006,8.182844000000001,0.686364,43,1220,1263,0.169091,0.191464,0.686364,0.122132
2011-01-12,12,1,0,1,0,3,1,1,0.11816899999999997,-5.408782,20.410009,0.599545,25,1137,1162,0.172727,0.160473,0.599545,0.304627
2011-01-13,13,1,0,1,0,4,1,1,-0.24499999999999922,-6.041722,20.166999999999998,0.470417,38,1368,1406,0.165,0.150883,0.470417,0.301
2011-01-14,14,1,0,1,0,5,1,1,-0.43910999999999945,-3.5647420000000007,8.478716,0.537826,54,1367,1421,0.16087,0.188413,0.537826,0.126548
2011-01-15,15,1,0,1,0,6,0,2,2.9666510000000006,0.3753920000000015,10.583521,0.49875,222,1026,1248,0.233333,0.248112,0.49875,0.157963
2011-01-16,16,1,0,1,0,0,0,1,2.888349,-0.5416779999999992,12.625010999999999,0.48375,251,953,1204,0.231667,0.234217,0.48375,0.188433
2011-01-17,17,1,0,1,1,1,0,2,0.264151,-4.333113999999998,12.999139,0.5375,117,883,1000,0.175833,0.176771,0.5375,0.194017
2011-01-18,18,1,0,1,0,2,1,2,2.1833489999999998,-0.6660219999999999,9.833924999999999,0.861667,9,674,683,0.216667,0.232333,0.861667,0.146775
2011-01-19,19,1,0,1,0,3,1,2,5.732177999999999,3.695852000000002,13.957239,0.741739,78,1572,1650,0.292174,0.298422,0.741739,0.208317
2011-01-20,20,1,0,1,0,4,1,2,4.298349,0.8333000000000013,13.125568,0.538333,83,1844,1927,0.261667,0.25505,0.538333,0.195904
2011-01-21,21,1,0,1,0,5,1,1,0.34249999999999936,-5.583022,23.667214,0.457083,75,1468,1543,0.1775,0.157833,0.457083,0.353242
2011-01-22,22,1,0,1,0,6,0,1,-5.2208711999999995,-10.7814064,11.52199,0.4,93,888,981,0.0591304,0.0790696,0.4,0.17197
2011-01-23,23,1,0,1,0,0,0,1,-3.4634801,-9.4766194,16.5222,0.436522,150,836,986,0.0965217,0.0988391,0.436522,0.2466
2011-01-24,24,1,0,1,0,1,1,1,-3.4226089,-8.21662,10.60811,0.491739,86,1330,1416,0.0973913,0.11793,0.491739,0.15833
2011-01-25,25,1,0,1,0,2,1,2,2.5034660000000013,-0.5212839999999996,8.696332,0.616957,186,1799,1985,0.223478,0.234526,0.616957,0.129796
2011-01-26,26,1,0,1,0,3,1,3,2.2225,-2.5624000000000002,19.68795,0.8625,34,472,506,0.2175,0.2036,0.8625,0.29385
2011-01-27,27,1,0,1,0,4,1,1,1.165000000000001,-1.4998000000000005,7.627078999999999,0.6875,15,416,431,0.195,0.2197,0.6875,0.113837
2011-01-28,28,1,0,1,0,5,1,2,1.563466,-1.2610780000000013,8.2611,0.793043,38,1129,1167,0.203478,0.223317,0.793043,0.1233
2011-01-29,29,1,0,1,0,6,0,1,1.2365340000000007,-1.9996840000000002,9.739455,0.651739,123,975,1098,0.196522,0.212126,0.651739,0.145365
2011-01-30,30,1,0,1,0,0,0,1,2.176534,0.5212520000000005,4.956834199999999,0.722174,140,956,1096,0.216522,0.250322,0.722174,0.0739826
2011-01-31,31,1,0,1,0,1,1,2,0.49915099999999946,-3.7074999999999996,12.541864,0.60375,42,1459,1501,0.180833,0.18625,0.60375,0.187192
