Price,Mileage,Make
10813.34352,266,Chevrolet
70755.46672,583,Cadillac
25948.96259,636,Chevrolet
48310.32954,788,Cadillac
16116.84392,865,Chevrolet
17360.81064,881,Pontiac
19446.88294,932,Chevrolet
14584.44812,1160,Chevrolet
15635.79616,1169,Chevrolet
19164.61063,1480,Chevrolet
19822.11539,1592,Pontiac
35033.21545,1676,SAAB
14739.06724,1737,Saturn
20021.19521,1787,Chevrolet
21757.04951,1853,Chevrolet
19567.25929,2189,Pontiac
51154.04722,2202,Cadillac
23197.43679,2295,Pontiac
25589.98315,2308,Buick
15110.1926,2392,Saturn
14894.98259,2464,Chevrolet
48365.9809,2616,Cadillac
42741.52367,2846,Cadillac
16916.86954,2879,Saturn
16927.77976,2973,Pontiac
20698.07708,2992,Buick
46732.60603,3625,Chevrolet
12649.11089,3629,Chevrolet
37088.56241,3828,SAAB
32197.34047,3867,SAAB
29246.23734,3907,SAAB
15979.01484,3946,Pontiac
12314.59122,4142,Chevrolet
16379.853,4188,Pontiac
15327.10032,4318,Pontiac
17418.06873,4463,Pontiac
21903.32262,4537,Pontiac
15053.93373,4652,Chevrolet
26831.19404,4695,Buick
11167.861,4716,Chevrolet
27280.98206,4836,SAAB
14061.12277,4922,Chevrolet
17675.83749,5131,Pontiac
32053.09716,5144,SAAB
14397.92808,5189,Chevrolet
47065.20991,5239,Chevrolet
15846.01271,5350,Pontiac
27714.05025,5379,Chevrolet
42820.32902,5499,Cadillac
18974.92203,5632,Chevrolet
23102.02237,5653,Pontiac
22736.83447,5690,Pontiac
15604.14582,5788,Pontiac
18173.97808,5826,Saturn
18800.0931,5827,Chevrolet
18957.89004,5936,Chevrolet
15747.80397,6048,Chevrolet
14429.78964,6114,Chevrolet
14642.32358,6224,Chevrolet
33005.77996,6409,SAAB
68566.18719,6420,Cadillac
35715.76856,6447,Cadillac
33417.96501,6598,Cadillac
19471.97485,6608,Chevrolet
49248.15897,6685,Cadillac
10897.07651,6699,Chevrolet
14696.02899,6709,Chevrolet
17141.94116,6761,Pontiac
39875.85426,7054,Chevrolet
21745.02944,7065,Chevrolet
10971.09561,7091,Chevrolet
14582.76912,7115,Chevrolet
11918.45607,7278,Chevrolet
21383.06716,7287,Pontiac
13007.98418,7372,Chevrolet
18324.83193,7397,Chevrolet
40966.60741,7476,Cadillac
19581.23141,7645,Chevrolet
15553.20871,7695,Chevrolet
18490.98303,7755,Saturn
69133.73172,7892,Cadillac
32746.13139,7924,SAAB
18800.9589,7961,Chevrolet
30800.65839,8017,SAAB
41378.04809,8125,Cadillac
18835.18976,8211,Chevrolet
17314.10313,8221,Buick
18910.80429,8345,Chevrolet
14222.3054,8427,Chevrolet
15639.03674,8507,Saturn
14266.91258,8615,Chevrolet
18950.90698,8687,Chevrolet
17089.91883,8732,Chevrolet
16379.0987,8754,Pontiac
14997.88434,8880,Chevrolet
22460.53,8928,Pontiac
39713.66792,8967,Chevrolet
22358.87768,8970,Buick
22104.97357,9049,Pontiac
17542.03608,9135,Buick
16706.67407,9150,Pontiac
32422.76138,9185,Pontiac
17202.83406,9380,Pontiac
38990.60733,9410,Chevrolet
14194.8236,9561,Chevrolet
26060.33535,9795,Buick
33183.3326,9795,SAAB
