Team,WinPct,FiredCoach,Year
Seahawks,58.8,0,2024
Rams,58.8,0,2024
Cardinals,47.1,0,2024
49ers,35.3,0,2024
Saints,29.4,1,2024
Buccaneers,58.8,0,2024
Panthers,29.4,0,2024
Falcons,47.1,0,2024
Commanders,70.6,0,2024
Giants,17.6,0,2024
Cowboys,41.2,1,2024
Eagles,82.4,0,2024
Packers,64.7,0,2024
Bears,29.4,1,2024
Vikings,82.4,0,2024
Lions,88.2,0,2024
Titans,17.6,0,2024
Colts,47.1,0,2024
Texans,58.8,0,2024
Jaguars,23.5,1,2024
Bills,76.5,0,2024
Dolphins,47.1,0,2024
Patriots,23.5,1,2024
Jets,29.4,1,2024
Steelers,58.8,0,2024
Ravens,70.6,0,2024
Browns,17.6,0,2024
Bengals,52.9,0,2024
Chiefs,88.2,0,2024
Raiders,23.5,1,2024
Chargers,64.7,0,2024
Broncos,58.8,0,2024
Seahawks,82.4,0,2025
Rams,70.6,0,2025
Cardinals,17.6,1,2025
49ers,70.6,0,2025
Saints,35.3,0,2025
Buccaneers,47.1,0,2025
Panthers,47.1,0,2025
Falcons,47.1,1,2025
Commanders,29.4,0,2025
Giants,23.5,1,2025
Cowboys,44.1,0,2025
Eagles,64.7,0,2025
Packers,55.9,0,2025
Bears,64.7,0,2025
Vikings,52.9,0,2025
Lions,52.9,0,2025
Titans,17.6,1,2025
Colts,47.1,0,2025
Texans,70.6,0,2025
Jaguars,76.5,0,2025
Bills,70.6,1,2025
Dolphins,41.2,1,2025
Patriots,82.4,0,2025
Jets,17.6,0,2025
Steelers,58.8,1,2025
Ravens,47.1,1,2025
Browns,29.4,1,2025
Bengals,35.3,0,2025
Chiefs,35.3,0,2025
Raiders,17.6,1,2025
Chargers,64.7,0,2025
Broncos,82.4,0,2025
