Name,Code,Year,GDP,laborrate,healthexp,infmortality
Afghanistan,AFG,2000,NA,58.9,11.0090643274,104.2
Afghanistan,AFG,2001,92.2061148557,58.9,11.1174534372,103.8
Afghanistan,AFG,2002,157.9765009299,59,21.772112303,103.3
Afghanistan,AFG,2003,168.6783237227,59,25.4845340061,103.9
Afghanistan,AFG,2004,196.2321389323,59.1,29.6200742268,103.6
Afghanistan,AFG,2005,227.8803608481,59.3,32.5157023742,103.8
Afghanistan,AFG,2006,251.1061619925,59.4,34.5719327008,103.8
Afghanistan,AFG,2007,307.9892024921,59.6,41.6541990854,103.7
Afghanistan,AFG,2008,361.5698935139,59.7,47.4828394996,103.3
Afghanistan,AFG,2009,NA,59.8,50.8859656841,103.2
Afghanistan,AFG,2010,NA,NA,NA,103
Albania,ALB,2000,1200.1374371175,61.3,75.3420868439,25.3
Albania,ALB,2001,1329.3850314672,61.1,80.0703213396,24.3
Albania,ALB,2002,1440.0301431256,60.9,90.4075829538,23.2
Albania,ALB,2003,1819.3978376418,60.6,113.7362786239,22.4
Albania,ALB,2004,2388.7292746863,60.4,162.2695783991,21.4
Albania,ALB,2005,2666.1416196075,60.2,179.4162274952,20.3
Albania,ALB,2006,2893.1578534896,59.9,201.7423127896,19.6
Albania,ALB,2007,3377.2215171931,59.7,234.9928769904,18.7
Albania,ALB,2008,4076.4021355335,59.4,280.5217553174,17.8
Albania,ALB,2009,3772.6047406594,59.5,264.604055074,17.2
Albania,ALB,2010,3678.231747851,NA,NA,16.4
Algeria,DZA,2000,1794.4052331656,55.2,62.6645542893,41.4
Algeria,DZA,2001,1781.0538135118,55.8,67.8751903737,40.4
Algeria,DZA,2002,1814.5574295838,56.2,65.9451855678,38.9
Algeria,DZA,2003,2131.3452624287,56.4,77.3549785284,38
Algeria,DZA,2004,2624.2072714535,56.8,98.0247722013,36.6
Algeria,DZA,2005,3111.7034468681,57.1,111.2355321614,35.9
Algeria,DZA,2006,3508.9087785711,57.6,149.6469876936,34.7
Algeria,DZA,2007,4005.2242424425,58,173.0334394548,33.8
Algeria,DZA,2008,4966.5717020457,58.3,271.7003224959,32.7
Algeria,DZA,2009,4022.1988778337,58.5,267.9465312808,32
Algeria,DZA,2010,4494.8867276744,NA,NA,30.5
American Samoa,ASM,2000,NA,NA,NA,NA
American Samoa,ASM,2001,NA,NA,NA,NA
American Samoa,ASM,2002,NA,NA,NA,NA
American Samoa,ASM,2003,NA,NA,NA,NA
American Samoa,ASM,2004,NA,NA,NA,NA
American Samoa,ASM,2005,NA,NA,NA,NA
American Samoa,ASM,2006,NA,NA,NA,NA
American Samoa,ASM,2007,NA,NA,NA,NA
American Samoa,ASM,2008,NA,NA,NA,NA
American Samoa,ASM,2009,NA,NA,NA,NA
American Samoa,ASM,2010,NA,NA,NA,NA
Andorra,AND,2000,17539.4420048658,NA,1289.1542029627,3.9
Andorra,AND,2001,19050.4631185532,NA,1254.251389606,3.8
Andorra,AND,2002,21091.1865981174,NA,1447.3951534836,3.6
Andorra,AND,2003,26563.2795766814,NA,1832.7229810436,3.4
Andorra,AND,2004,30842.101448533,NA,2126.3876877996,3.3
Andorra,AND,2005,32607.83799722,NA,2311.7840765787,3.3
Andorra,AND,2006,35349.4735786775,NA,2562.1802120801,3.2
Andorra,AND,2007,39874.819802429,NA,2947.5876453119,3.2
Andorra,AND,2008,44952.3991729748,NA,3330.7979336346,3.2
Andorra,AND,2009,NA,NA,3089.6358852724,3.1
Andorra,AND,2010,NA,NA,NA,3.1
Angola,AGO,2000,655.5318000259,82.5,15.4012181347,118.9
Angola,AGO,2001,621.0641973776,82.6,20.9657483645,116.4
Angola,AGO,2002,767.72159472,82.4,17.8223890931,114.1
