ahe,bachelor,female,age
19.23077011,0,0,30
17.54807663,0,0,29
8.547008514,0,0,27
16.82692337,0,1,25
16.34615326,1,1,27
16.10577011,1,0,30
15.81196594,0,0,31
3.525640965,1,0,29
14.42307663,0,0,29
11.22884655,0,0,33
28.06122398,0,0,27
22.95918274,0,1,28
13.46153831,0,0,30
18.22916603,0,0,31
20,0,0,34
35,0,0,32
15.38461494,0,0,26
9.134614944,0,1,32
17.30769157,1,1,32
14.42307663,1,1,32
19.23077011,0,0,33
6.730769157,0,0,26
11.53846169,0,0,33
10.57788467,0,1,34
11.53846169,0,0,25
7.5,1,1,25
10.98901081,1,1,32
14.90384579,1,1,29
21.73077011,1,0,32
15.625,0,0,33
19.71153831,0,0,31
19.23077011,1,1,33
13.46153831,0,0,31
14.42307663,1,1,28
16.82692337,0,0,26
6.730769157,0,1,32
11.53846169,0,1,31
16.34615326,0,0,32
17.30769157,1,1,27
21.63461494,1,1,32
14.14326954,1,1,30
16.82692337,0,0,25
11.53846169,0,0,30
7.5,0,1,25
8.547008514,0,1,27
8.461538315,0,0,28
6.009615421,0,0,26
15.38461494,1,0,32
13.75,1,1,31
16.82692337,0,0,29
16.34615326,1,0,31
41.13247681,1,1,30
38.46154022,1,1,31
21.63461494,1,0,28
10.81730747,1,0,28
5.78231287,1,1,31
13.94230747,0,0,26
6.593406677,0,0,30
19.95192337,1,0,32
23.17290497,1,0,25
17.30769157,1,1,30
15.38461494,1,1,27
28.84615326,1,0,34
17.30769157,1,0,28
19.23077011,0,0,28
36.05769348,1,0,26
21.15384674,1,1,30
15.49145317,1,1,34
16.82692337,0,1,25
10.98901081,0,1,27
17.30769157,1,1,29
17.83216858,1,0,34
15.38461494,1,1,32
17.30865479,0,0,28
25.24038506,1,1,32
25.48077011,1,0,30
15.86538506,1,0,30
16.23931694,1,1,30
21.36752129,1,1,33
10.09615421,0,1,30
19.23077011,1,1,26
16.82692337,0,0,26
11.39423084,0,0,32
16.82692337,0,0,27
14.42307663,0,0,33
20.67307663,0,0,33
23.36309433,0,0,34
46.15384674,1,0,33
13.67521381,1,0,30
27.47252655,0,0,33
34.61538315,1,0,30
15.38461494,0,0,30
23.07692337,1,1,26
14.42307663,1,0,31
31.25,1,1,34
9.109312057,0,1,28
16.23931694,0,0,29
23.23999977,1,0,30
43.26922989,1,0,31
38.46154022,1,1,31
11.53846169,0,0,32
11.53846169,0,1,27
7.986111164,0,0,25
9.615385056,0,1,34
14.42307663,1,0,26
26.92307663,0,0,33
22.11538506,0,0,25
9.01442337,0,0,32
28.84615326,0,0,30
24.03846169,1,0,31
20.19230843,1,1,31
17.78846169,1,1,26
23.07692337,0,0,32
32.05128098,1,1,26
11.75,0,1,29
10.09615421,0,0,32
17.88461494,1,1,31
12.63736248,1,1,34
18.3150177,1,1,30
19.23077011,1,0,27
15.38461494,1,1,31
26.22377586,0,1,31
28.01120377,0,0,34
13.46153831,1,0,27
19.23077011,0,0,27
22.11538506,0,0,28
22.98850632,1,0,34
34.61538315,1,0,33
22.59615326,0,0,32
13.33333302,0,0,31
14.42403889,0,0,26
32.05128098,1,0,34
13.46153831,1,1,28
27.47252655,1,0,31
9.134614944,0,1,33
33.65384674,1,0,27
9.615385056,1,1,26
21.15384674,1,0,29
24.03846169,1,1,31
26.44230843,1,1,31
16.92307663,1,1,26
51.92307663,1,0,34
28.36538506,1,1,34
21.63461494,0,0,32
19.23077011,0,0,34
14.9572649,0,1,31
12.01923084,0,0,30
44.37869644,1,0,32
25,1,0,28
14.42307663,0,0,27
16.82692337,1,1,26
18.26922989,1,0,30
22.59615326,1,0,26
26.04166603,0,0,34
16.34615326,1,0,34
25.65897369,1,0,34
12.01923084,1,1,34
11.05769253,0,0,33
18.99038506,0,0,30
14.67611313,1,1,27
16.82692337,1,1,28
33.65384674,1,0,28
28.84615326,1,1,30
15.38461494,0,0,29
9.616346359,0,0,29
34.61615372,1,0,30
20,0,0,32
12.65384579,0,0,31
