title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short,genre,highrating,RatedR
'Til There Was You,1997,113,23,4.8,799,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,PG-13,0,0,1,0,0,1,0,Comedy,No,Not_R_rated
10 Things I Hate About You,1999,97,16,6.7,19095,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,PG-13,0,0,1,0,0,1,0,Comedy,Yes,Not_R_rated
100 Mile Rule,2002,98,1.1,5.6,181,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,R,0,0,1,0,0,0,0,Comedy,No,R_rated
13 Going On 30,2004,98,37,6.4,7859,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,PG-13,0,0,1,1,0,1,0,Comedy,Yes,Not_R_rated
"13th Warrior, The",1999,102,85,6.1,14344,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,Yes,R_rated
15 Minutes,2001,120,42,6.1,10866,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
1776,1972,180,4,7.3,1754,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,PG,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
2 Fast 2 Furious,2003,107,76,5.1,9556,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0,Action,No,Not_R_rated
20 Dates,1998,87,0.06,5.4,841,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,0,0,1,0,1,1,0,Comedy,No,R_rated
200 Cigarettes,1999,101,6,5.4,4514,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,R,0,0,1,1,0,0,0,Comedy,No,R_rated
2001: A Space Travesty,2000,99,26,2.5,2023,44.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,R,0,0,1,0,0,0,0,Comedy,No,R_rated
2046,2004,129,12,7.6,2663,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,R,0,0,0,1,0,1,0,Drama,Yes,R_rated
21 Grams,2003,124,20,8,21857,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
"24 Hour Woman, The",1999,93,2.5,5.6,149,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,R,0,0,1,0,0,0,0,Comedy,No,R_rated
25th Hour,2002,135,15,7.8,15788,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,14.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
28 Days,2000,103,43,6,7465,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
3000 Miles to Graceland,2001,125,62,5.4,7298,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,1,0,1,0,0,0,0,Action,No,R_rated
40 Days and 40 Nights,2002,96,17,5.4,8609,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,R,0,0,1,1,0,1,0,Comedy,No,R_rated
50 First Dates,2004,99,75,6.8,13497,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,PG-13,0,0,1,0,0,1,0,Comedy,Yes,Not_R_rated
"51st State, The",2001,92,28,6.1,6752,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,1,0,1,0,0,0,0,Action,Yes,R_rated
54,1998,100,13,5.4,6905,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,No,R_rated
"6th Day, The",2000,123,82,5.9,12064,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,1,0,0,0,0,0,0,Action,No,Not_R_rated
8 Mile,2002,110,41,6.8,17900,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
AVP: Alien Vs. Predator,2004,102,45,5.4,14651,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0,Action,No,Not_R_rated
Abandon,2002,99,25,4.7,2364,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,0,1,0,0,0,Drama,No,Not_R_rated
About Schmidt,2002,125,30,7.3,23279,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,0,0,1,1,0,0,0,Comedy,Yes,R_rated
About a Boy,2002,101,27,7.5,18318,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,PG-13,0,0,1,1,0,0,0,Comedy,Yes,Not_R_rated
Absolon,2003,96,8,4.1,548,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,No,R_rated
Absolute Power,1997,121,50,6.4,7995,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
"Abyss, The",1989,171,69.5,7.4,21987,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,1,0,0,1,0,0,0,Action,Yes,Not_R_rated
Ace Ventura: Pet Detective,1994,86,12,6.2,20705,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,Yes,Not_R_rated
Ace Ventura: When Nature Calls,1995,90,30,4.9,15161,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Adaptation.,2002,114,19,7.9,25140,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,1,1,0,0,0,Comedy,Yes,R_rated
"Adventures of Pluto Nash, The",2002,95,100,3.9,2543,24.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG-13,1,0,1,0,0,0,0,Action,No,Not_R_rated
"Adventures of Robin Hood, The",1938,102,1.9,8.2,7359,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,PG,1,0,0,0,0,1,0,Action,Yes,Not_R_rated
"Adventures of Rocky & Bullwinkle, The",2000,88,76,4.3,4815,14.5,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG,0,1,1,0,0,0,0,Animation,No,Not_R_rated
Affliction,1997,114,6,6.9,3679,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
