age,wjtest01,female,black,white,hispanic,freelunch
-103,8,0,0,1,0,0
-135,1,1,1,0,0,1
-44,NA,0,0,1,0,1
271,14,1,1,0,0,1
-154,2,0,0,1,0,0
-207,1,1,1,0,0,1
-45,3,0,0,0,1,1
151,9,1,0,1,0,1
-327,2,1,0,1,0,1
-285,2,1,1,0,0,1
-84,2,1,1,0,0,1
66,10,0,0,1,0,0
240,13,0,0,1,0,1
120,NA,1,1,0,0,1
274,9,0,0,0,0,1
-298,NA,0,1,0,0,0
-149,2,0,0,1,0,0
342,9,1,0,0,1,1
-11,1,1,0,1,0,1
-215,NA,1,0,1,0,0
-345,NA,0,0,1,0,0
-224,0,0,NA,NA,NA,1
-163,6,1,1,0,0,1
-71,7,1,0,0,0,1
-89,NA,1,0,0,1,1
-327,9,1,0,0,1,1
-141,2,0,0,1,0,1
156,12,1,0,0,0,1
-230,2,0,0,1,0,0
-173,2,1,1,0,0,1
-72,10,1,0,1,0,0
129,14,1,0,1,0,0
-17,NA,0,0,1,0,0
-173,NA,1,1,0,0,1
247,8,1,0,1,0,1
229,0,0,1,0,0,1
-121,NA,1,1,0,0,1
264,11,0,0,0,0,0
-356,2,1,0,0,0,0
-200,4,0,0,0,0,1
-118,10,1,0,1,0,1
-72,10,1,0,1,0,0
351,13,0,0,0,1,1
248,13,1,0,1,0,0
-330,NA,0,NA,NA,NA,1
-128,NA,0,0,0,1,1
-333,NA,1,0,1,0,1
-242,5,0,0,1,0,0
-341,3,0,0,1,0,1
-207,1,1,1,0,0,1
115,13,1,0,1,0,1
-263,4,1,0,1,0,0
-327,4,1,0,1,0,1
-283,2,1,0,1,0,0
-329,NA,1,0,1,0,NA
-159,NA,1,1,0,0,1
-117,2,1,NA,NA,NA,1
283,11,0,0,1,0,1
-273,NA,0,1,0,0,1
-84,3,1,1,0,0,1
-361,8,1,0,0,1,0
-41,5,1,0,0,1,1
-297,1,1,0,1,0,1
-160,2,1,NA,NA,NA,NA
-172,NA,1,0,1,0,1
-48,5,0,0,1,0,0
-100,6,1,0,0,0,1
-123,4,0,0,1,0,0
-206,3,0,0,0,1,1
337,13,1,1,0,0,1
-244,2,1,0,0,0,1
-104,3,1,0,0,1,1
-357,NA,1,1,0,0,1
270,NA,0,0,1,0,1
-207,4,0,NA,NA,NA,1
110,NA,1,0,1,0,1
-2,9,0,0,0,1,1
-25,2,0,1,0,0,1
19,5,1,0,1,0,1
-284,6,0,0,1,0,1
39,10,1,0,0,0,1
-99,3,0,NA,NA,NA,NA
119,7,0,0,1,0,1
-327,5,1,0,1,0,1
207,11,0,1,0,0,1
-219,5,0,1,0,0,1
-77,2,1,0,0,1,1
-189,3,0,0,1,0,1
-271,2,0,0,1,0,0
-132,7,1,0,1,0,1
-233,1,1,0,1,0,1
-15,2,0,0,0,1,1
164,NA,0,0,1,0,0
341,5,0,0,1,0,0
-307,NA,1,1,0,0,1
240,NA,1,0,0,0,1
-252,3,1,0,1,0,1
-297,2,0,0,1,0,1
72,12,0,1,0,0,0
-182,2,0,NA,NA,NA,1
-39,4,0,0,1,0,0
41,4,1,0,1,0,0
-269,NA,0,0,0,1,0
-46,1,0,0,0,0,1
-314,3,0,NA,NA,NA,NA
-127,1,1,0,0,1,1
134,NA,1,0,1,0,0
-345,2,0,0,1,0,1
-166,3,0,1,0,0,1
-312,3,0,1,0,0,1
93,5,0,1,0,0,0
-236,9,0,1,0,0,1
-195,1,1,0,1,0,1
-346,2,0,0,1,0,1
71,3,0,0,1,0,0
-307,2,1,0,0,1,1
-211,15,1,NA,NA,NA,NA
-172,7,1,NA,NA,NA,NA
227,13,0,0,0,0,1
-200,9,1,NA,NA,NA,NA
-273,2,1,0,0,1,1
-239,NA,1,0,1,0,1
53,15,1,1,0,0,1
289,5,0,0,0,0,0
-171,2,0,NA,NA,NA,NA
-158,2,1,0,0,0,1
62,3,0,NA,NA,NA,1
254,14,0,0,1,0,1
-299,1,1,0,0,0,1
237,8,1,0,0,0,0
-223,0,0,0,0,0,0
-103,0,0,NA,NA,NA,NA
-236,9,1,0,1,0,1
-326,2,1,0,1,0,1
-329,NA,0,0,0,0,1
-165,NA,1,1,0,0,1
-118,2,0,NA,NA,NA,1
-307,NA,0,1,0,0,1
-72,7,1,NA,NA,NA,1
-79,NA,1,0,1,0,1
85,12,1,0,0,0,1
-346,5,0,0,1,0,0
-323,NA,0,0,1,0,1
-262,3,0,1,0,0,1
-165,1,0,1,0,0,1
-94,NA,1,0,1,0,1
-126,3,1,0,1,0,0
-165,NA,1,1,0,0,1
228,12,1,0,1,0,1
-185,NA,0,0,1,0,1
-90,13,0,NA,NA,NA,NA
360,NA,1,0,0,1,1
-181,2,1,0,0,1,0
-191,NA,0,0,1,0,1
-10,2,0,0,0,1,1
-272,1,1,0,1,0,0
-213,NA,0,1,0,0,1
-311,NA,0,0,1,0,NA
256,15,0,NA,NA,NA,NA
-70,13,0,0,0,0,0
-305,11,1,1,0,0,1
-145,3,1,0,0,0,1
-142,1,1,0,1,0,0
156,NA,1,0,1,0,0
262,12,0,1,0,0,1
-145,NA,0,0,0,1,0
-144,NA,0,0,0,0,0
-321,NA,0,1,0,0,1
85,8,1,0,1,0,1
-254,12,0,1,0,0,0
-262,3,0,0,0,1,1
-113,1,0,NA,NA,NA,NA
-51,3,0,0,0,0,0
85,NA,1,0,1,0,1
-59,NA,1,1,0,0,1
-148,9,0,NA,NA,NA,NA
179,9,0,0,0,0,0
-263,9,0,NA,NA,NA,NA
-204,3,0,1,0,0,1
-187,3,1,0,1,0,1
-334,2,1,0,0,0,1
-227,8,1,0,1,0,0
-244,12,1,NA,NA,NA,0
-178,3,1,NA,NA,NA,NA
-129,12,1,0,1,0,0
99,13,0,1,0,0,1
351,8,0,NA,NA,NA,0
44,NA,1,0,1,0,0
-360,1,0,0,0,1,1
-296,2,0,0,1,0,1
-327,2,0,1,0,0,1
332,11,1,0,1,0,1
-57,NA,1,1,0,0,0
-67,11,1,NA,NA,NA,NA
-133,NA,0,0,0,0,1
122,19,0,0,0,0,0
-338,6,0,NA,NA,NA,1
-249,7,1,0,1,0,0
-249,5,1,NA,NA,NA,1
-76,5,0,0,1,0,1
-118,5,1,0,0,0,1
-313,1,0,0,1,0,1
-71,10,0,0,1,0,0
-283,4,1,0,1,0,0
-283,2,0,0,1,0,0
-195,4,0,1,0,0,0
-110,1,1,0,0,1,0
-59,3,1,1,0,0,1
-159,1,0,0,1,0,0
74,NA,0,0,0,0,1
-179,6,0,0,0,1,1
-338,2,0,0,1,0,0
