id,EM,PrevImpr,Rec,DetLength,percJudgeSentToEM,judgeAlreadyUsedEM
1,1,1,0,513,0.25,0
2,1,2,0,296,0.035087719559669495,0
3,1,2,1,1486,0.010526316240429878,0
4,1,1,0,74,0.048648648,1
5,1,1,0,1068,0.1910112351179123,1
7,1,1,0,262,0.003968254,0
8,1,2,0,1256,0.044117648,1
9,1,2,0,179,0.003968254,1
10,1,1,1,528,0,0
11,1,2,1,1947,0.011976048350334167,0
12,1,2,0,293,0,0
16,1,0,0,839,0.063432835,1
17,1,1,0,61,0.75,1
18,1,1,0,1220,0,0
20,1,1,0,21,0.1538461595773697,1
22,1,1,1,593,0.023166023194789886,0
24,1,0,0,891,0.1910112351179123,0
26,1,0,0,898,0.011976048350334167,1
27,1,0,0,1215,0.013698630034923553,1
28,1,0,0,949,0.1910112351179123,1
30,1,2,0,683,0.13333334028720856,0
33,1,0,0,566,0,0
34,1,0,0,1278,0.1910112351179123,1
35,1,0,0,1363,0.045977011,0
39,1,0,1,568,0.005333333,0
40,1,0,0,751,0,0
44,1,1,1,224,0.035087719559669495,1
45,1,0,0,974,0.4444444477558136,1
46,1,0,0,799,0.4444444477558136,1
47,1,0,1,1251,0.045977011,1
49,1,0,1,737,0.052631579,0
51,1,0,0,867,0.011904762126505375,1
52,1,0,0,798,0.048034936,0
53,1,1,1,1594,0.010526316240429878,1
54,1,0,0,502,0,0
55,1,0,0,862,0.1910112351179123,1
56,1,0,0,948,0.045977011,1
57,1,0,1,944,0.1910112351179123,1
58,1,0,1,231,0.1910112351179123,1
59,1,0,0,1246,0,0
60,1,2,0,1102,0.1325966864824295,1
61,1,0,0,2002,0.1325966864824295,0
62,1,0,0,1169,0.052631579,1
63,1,0,0,1077,0.014652014710009098,1
64,1,0,0,355,0.014652014710009098,1
65,1,0,0,417,0.1910112351179123,1
66,1,0,0,981,0.1538461595773697,1
67,1,0,0,498,0.023166023194789886,1
68,1,1,0,1319,0.042553190141916275,1
69,1,1,0,40,0.035087719559669495,1
70,1,0,0,484,0.063432835,1
71,1,0,0,141,0.1910112351179123,1
72,1,0,1,313,0.1538461595773697,1
74,1,0,0,1212,0,0
75,1,0,0,424,0.063432835,1
77,1,0,0,365,0.048034936,1
78,1,0,0,255,0.034246575087308884,1
79,1,0,0,338,0.044117648,0
80,1,0,0,617,0.045161292,1
81,1,0,0,826,0.010989011265337467,0
82,1,0,0,945,0.045161292,1
83,1,0,0,1526,0,0
84,1,0,0,597,0.045161292,1
85,1,0,0,801,0.048034936,1
86,1,0,0,651,0.010989011265337467,1
88,1,0,0,526,0.010989011265337467,1
89,1,0,0,719,0.063432835,1
90,1,0,0,614,0.010452961549162865,0
91,1,0,0,168,0.045161292,1
92,1,0,1,256,0.010452961549162865,1
94,1,0,1,22,0.014652014710009098,1
95,1,0,0,770,0.013698630034923553,1
96,1,1,0,453,0.00990099,0
97,1,0,0,616,0.023166023194789886,1
98,1,0,0,700,0.023166023194789886,1
99,1,0,0,714,0.063432835,1
100,1,0,0,490,0.1325966864824295,1
102,1,0,1,2,0.048034936,1
103,1,0,0,1654,0.023166023194789886,1
104,1,0,1,9,0.059459459,1
105,1,0,0,161,0.10382513701915741,1
106,1,0,0,149,0.029239766,0
107,1,0,0,1898,0.015957447,1
108,1,0,0,1129,0.10382513701915741,1
109,1,0,0,203,0.10382513701915741,1
110,1,0,1,1236,0.003816794,0
111,1,0,1,579,0.10382513701915741,1
112,1,0,1,510,0.010526316240429878,1
114,1,0,0,307,0.015957447,1
115,1,0,0,1082,0.10382513701915741,1
116,1,0,0,1282,0.023166023194789886,1
117,1,0,0,731,0.0625,1
118,1,0,0,945,0.0625,0
119,1,0,1,646,0.1325966864824295,1
120,1,0,0,347,0.030864198,1
121,1,0,0,496,0.10382513701915741,1
122,1,0,1,191,0.029239766,1
124,1,1,0,282,0.005333333,1
125,1,1,0,1371,0.035087719559669495,1
126,1,0,0,142,0.064516127,0
127,1,1,0,783,0,0
128,1,0,0,1297,0.006896552,0
129,1,0,1,480,0.1325966864824295,1
130,1,0,0,1246,0.10382513701915741,1
131,1,0,0,1515,0.006329114,1
132,1,0,0,130,0.013698630034923553,1
133,1,0,0,771,0.048034936,1
134,1,0,0,429,0.048648648,1
135,1,0,0,1446,0.032051284,1
136,1,0,0,994,0.064516127,1
137,1,0,1,594,0.041025642305612564,1
138,1,0,0,826,0.015625,1
139,1,0,0,904,0.015625,1
140,1,0,0,153,0.029239766,1
141,1,0,0,1049,0.1325966864824295,1
142,1,0,0,823,0.027272727340459824,1
143,1,0,0,1304,0,0
144,1,0,0,833,0.1325966864824295,1
145,1,0,0,756,0.10000000149011612,0
146,1,0,0,1287,0.019867551,1
147,1,0,0,1038,0.059459459,1
149,1,0,0,701,0.0625,1
150,1,0,0,553,0.059459459,1
151,1,0,0,227,0.10382513701915741,1
152,1,0,0,294,0.048034936,1
153,1,0,1,1009,0.063432835,1
154,1,0,0,1194,0.013793103396892548,1
155,1,0,0,1017,0.032051284,1
156,1,0,0,869,0.034246575087308884,1
157,1,0,0,791,0.25,0
158,1,0,1,253,0.035087719559669495,1
159,1,0,0,802,0.042553190141916275,1
160,1,0,0,219,0.025641025975346565,1
161,1,0,0,520,0.059459459,1
162,1,0,0,622,0.064516127,1
163,1,0,0,209,0.010101010091602802,0
164,1,0,0,429,0.25,1
165,1,0,0,1023,0.041025642305612564,1
166,1,0,0,407,0.10382513701915741,1
167,1,0,0,721,0.1325966864824295,1
168,1,0,0,570,0.010452961549162865,1
169,1,0,0,266,0.005,1
170,1,0,0,47,0.083333336,0
171,1,0,0,373,0.00990099,1
172,1,0,0,703,0.059459459,1
173,1,0,0,603,0.048648648,1
175,1,0,0,1254,0.015625,0
176,1,0,0,823,0.027272727340459824,1
177,1,0,0,866,0.063432835,1
178,1,0,0,117,0.063432835,1
179,1,0,0,630,0.1910112351179123,1
180,1,0,0,89,0.10000000149011612,1
181,1,0,0,76,0.75,1
182,1,0,0,211,0.041025642305612564,1
183,1,0,0,919,0.032051284,1
184,1,0,0,271,0.10382513701915741,1
185,1,0,0,312,0.013793103396892548,0
186,1,3,0,191,0.008333334,1
187,1,0,0,457,0.034246575087308884,1
188,1,1,0,347,0.005586592,1
189,1,0,0,1656,0,0
190,1,0,0,106,0.032051284,1
191,1,1,0,230,0,0
192,1,0,0,45,0.10382513701915741,1
193,1,0,0,1371,0.064516127,1
194,1,0,0,1241,0.041025642305612564,1
195,1,1,0,529,0.004926108,0
196,1,0,0,109,0.1538461595773697,1
197,1,0,0,398,0.083333336,1
198,1,0,0,1120,0.059459459,1
199,1,0,0,684,0.042553190141916275,1
200,1,0,0,189,0.1538461595773697,1
201,1,0,0,58,0.059459459,1
202,1,0,0,1389,0.006896552,1
203,1,0,0,266,0.013793103396892548,1
204,1,0,0,692,0.015957447,1
205,1,0,0,259,0.25,1
206,1,0,0,200,0.041025642305612564,1
207,1,0,0,303,0.030864198,0
208,1,0,0,598,0.064516127,1
209,1,0,0,327,0.029239766,1
210,1,0,0,648,0.018181818,1
211,1,0,0,280,0.005,0
213,1,0,0,146,0.25,1
214,1,0,0,388,0.1325966864824295,1
215,1,0,0,276,0.019607843831181526,0
216,1,0,0,635,0.013698630034923553,1
217,1,0,0,84,0.010452961549162865,1
218,1,0,0,573,0.1325966864824295,1
219,1,0,0,864,0.048034936,1
220,1,0,0,1205,0.013698630034923553,1
221,1,0,0,518,0.063432835,1
222,1,0,0,354,0.10382513701915741,1
223,1,0,0,282,0.1325966864824295,1
224,1,0,0,11,0.059459459,1
225,1,0,0,536,0.048648648,1
226,1,0,0,30,0.25,1
227,1,0,0,499,0.10000000149011612,1
228,1,0,0,274,0.030864198,1
229,1,1,0,265,0.004926108,1
230,1,0,0,98,0.025641025975346565,1
231,1,0,0,85,0.042553190141916275,1
232,1,0,0,489,0.037500001,1
233,1,0,0,805,0.037500001,0
234,1,0,0,1393,0.063432835,1
235,1,0,0,1449,0.064516127,1
237,1,0,0,588,0.013953488320112228,1
239,1,0,0,612,0.041025642305612564,1
240,1,0,0,455,0.083333336,1
241,1,0,0,13,0.005586592,0
242,1,0,0,1026,0.015957447,1
243,1,0,0,1157,0,0
244,1,0,0,253,0.030864198,1
245,1,0,0,399,0.037500001,1
246,1,0,0,545,0.025641025975346565,1
247,1,0,0,692,0.048034936,1
248,1,0,0,688,0.1325966864824295,1
249,1,0,0,782,0.025641025975346565,1
250,1,0,0,387,0.059459459,1
252,1,0,0,707,0.064516127,1
253,1,0,0,729,0.010526316240429878,0
254,1,0,0,660,0.013953488320112228,1
256,1,0,0,416,0.037500001,1
257,1,0,0,202,0.030864198,1
260,1,0,0,735,0.019999999552965164,1
261,1,0,0,94,0.048034936,1
262,1,0,0,23,0.1325966864824295,1
264,1,0,0,300,0.019867551,1
266,1,2,1,441,0.003968254,1
270,1,1,1,205,0,0
271,1,1,1,627,0.011904762126505375,0
272,1,2,0,690,0.4444444477558136,0
276,1,0,0,2395,0,0
277,1,2,0,405,0,0
278,1,2,0,382,0.1325966864824295,1
279,1,1,0,669,0,0
281,1,2,1,337,0.013698630034923553,0
282,1,1,0,1800,0.032051284,0
284,1,2,0,307,0.048034936,1
285,1,1,1,743,0.1325966864824295,1
287,1,1,1,410,0.015957447,0
288,1,1,0,455,0,0
289,1,0,1,1125,0.1910112351179123,1
290,1,0,1,764,0,0
291,1,0,0,908,0.011976048350334167,1
292,1,1,0,512,0.045977011,1
293,1,0,0,942,0.1910112351179123,1
295,1,2,0,432,0,0
300,1,0,0,996,0.1910112351179123,1
302,1,1,0,488,0.035087719559669495,1
304,1,0,0,1348,0.1910112351179123,1
305,1,0,0,921,0.4444444477558136,1
307,1,0,0,967,0.1910112351179123,1
308,1,0,0,893,0,0
309,1,0,0,788,0.4444444477558136,1
311,1,0,0,346,0.052631579,1
314,1,0,1,832,0,0
315,1,0,0,491,0.1910112351179123,1
317,1,2,1,467,0.10382513701915741,1
318,1,0,1,643,0.014652014710009098,0
320,1,0,0,596,0.1910112351179123,1
321,1,0,0,422,0.035087719559669495,1
322,1,0,0,1032,0.045977011,1
323,1,0,0,583,0.034246575087308884,0
324,1,0,0,168,0.063432835,0
325,1,0,0,1319,0.015957447,1
326,1,1,1,1161,0,0
327,1,0,1,353,0.004926108,0
329,1,0,1,618,0.1910112351179123,1
330,1,0,1,330,0.041025642305612564,0
331,1,0,1,155,0.063432835,1
332,1,0,0,964,0,0
333,1,2,1,607,0.1325966864824295,1
334,1,1,1,2306,0.006329114,0
335,1,0,1,634,0.045161292,0
336,1,0,0,162,0.1538461595773697,1
337,1,0,0,402,0.10382513701915741,0
338,1,0,0,62,0.063432835,1
339,1,0,0,424,0.063432835,1
340,1,0,1,443,0.1538461595773697,1
341,1,1,0,153,0.13333334028720856,1
342,1,0,0,255,0.034246575087308884,1
343,1,0,0,257,0.034246575087308884,1
345,1,0,0,632,0.045161292,1
347,1,0,0,922,0.045161292,1
348,1,0,0,1148,0,0
351,1,0,0,1498,0,0
352,1,1,0,1461,0.75,0
353,1,0,0,100,0.003546099,0
354,1,0,0,298,0.25,1
355,1,0,0,168,0.045161292,1
357,1,0,0,208,0.75,1
358,1,0,0,206,0.059459459,0
359,1,0,0,366,0.063432835,1
360,1,0,0,360,0.063432835,1
361,1,0,0,616,0.023166023194789886,1
362,1,1,0,1169,0.025641025975346565,1
363,1,0,0,245,0.044117648,1
364,1,0,0,335,0.048034936,1
