state,year,fips,vmt,fatalityrate,sb_useage,speed65,speed70,drinkage21,ba08,income,age,primary,secondary
AK,1983,2,3358,0.0446694,,0,0,1,0,17973,28.23497,0,0
AK,1984,2,3589,0.0373363,,0,0,1,0,18093,28.34354,0,0
AK,1985,2,3840,0.0330729,,0,0,1,0,18925,28.37282,0,0
AK,1986,2,4008,0.0251996,,0,0,1,0,18466,28.39665,0,0
AK,1987,2,3900,0.0194872,,0,0,1,0,18021,28.45325,0,0
AK,1988,2,3841,0.0252538,,0,0,1,0,18447,28.85142,0,0
AK,1989,2,3887,0.0216105,,0,0,1,0,19970,29.14895,0,0
AK,1990,2,3979,0.0246293,0.45,0,0,1,0,21073,29.58628,0,0
AK,1991,2,4021,0.0251181,0.66,0,0,1,0,21496,29.82771,0,1
AK,1992,2,3841,0.0281177,0.66,1,0,1,0,22073,30.2107,0,1
AK,1993,2,3918,0.0301174,0.69,1,0,1,0,22711,30.46439,0,1
AK,1994,2,4150,0.0204819,0.69,1,0,1,0,23417,30.75657,0,1
AK,1995,2,4123,0.0211011,0.69,1,0,1,0,23971,31.1786,0,1
AK,1996,2,4115,0.0196841,0.69,1,0,1,0,24310,31.44535,0,1
AK,1997,2,4387,0.0175519,0.69,1,0,1,0,24969,31.60147,0,1
AL,1983,1,31032,0.0299691,,0,0,0,0,9505,34.20065,0,0
AL,1984,1,32961,0.0282758,0.13,0,0,0,0,10417,34.42163,0,0
AL,1985,1,35091,0.0251346,0.17,0,0,1,0,11133,34.60257,0,0
AL,1986,1,34003,0.0317913,0.29,0,0,1,0,11736,34.76067,0,0
AL,1987,1,37426,0.0296852,0.21,1,0,1,0,12394,34.95566,0,0
AL,1988,1,39684,0.0258039,0.29,1,0,1,0,13288,35.13696,0,0
AL,1989,1,40765,0.0252422,0.38,1,0,1,0,14266,35.32786,0,0
AL,1990,1,42347,0.0264718,0.44,1,0,1,0,15213,35.62292,0,0
AL,1991,1,42924,0.0259994,0.47,1,0,1,0,15895,35.68874,0,0
AL,1992,1,45762,0.0225296,0.58,1,0,1,0,16817,35.83262,0,1
AL,1993,1,47337,0.0220546,0.55,1,0,1,0,17398,35.94825,0,1
AL,1994,1,48956,0.0221219,0.55,1,0,1,0,18163,36.09201,0,1
AL,1995,1,50628,0.0220036,0.52,1,1,1,1,19041,36.20575,0,1
AL,1996,1,51433,0.0222814,0.54,1,1,1,1,19838,36.38513,0,1
AL,1997,1,53458,0.0222979,0.52,1,1,1,1,20672,36.50072,0,1
AR,1983,5,16684,0.0333853,,0,0,1,0,9267,35.42214,0,0
AR,1984,5,16621,0.0315865,,0,0,1,0,10263,35.56396,0,0
AR,1985,5,17112,0.0312062,,0,0,1,0,10919,35.69191,0,0
AR,1986,5,17555,0.0343492,0.198,0,0,1,0,11409,35.86727,0,0
AR,1987,5,18306,0.0349066,,1,0,1,0,11842,36.00813,0,0
AR,1988,5,19219,0.0317394,0.301,1,0,1,0,12637,36.14387,0,0
AR,1989,5,20414,0.0316939,,1,0,1,0,13353,36.29208,0,0
AR,1990,5,21011,0.0287468,0.34,1,0,1,0,14025,36.42568,0,0
AR,1991,5,21934,0.0277195,0.52,1,0,1,0,14766,36.46632,0,1
AR,1992,5,23081,0.0254755,0.55,1,0,1,0,15807,36.5057,0,1
AR,1993,5,23995,0.0242967,0.55,1,0,1,0,16380,36.59258,0,1
AR,1994,5,24948,0.0244108,0.51,1,0,1,0,17090,36.62239,0,1
AR,1995,5,26653,0.0236746,0.51,1,0,1,0,17934,36.62849,0,1
AR,1996,5,27840,0.0220905,0.48,1,0,1,0,18808,36.66524,0,1
AR,1997,5,28144,0.0234508,0.48,1,0,1,0,19595,36.81758,0,1
AZ,1983,4,19611,0.0344195,,0,0,0,0,11277,34.11422,0,0
AZ,1984,4,20613,0.0421579,,0,0,1,0,12375,34.24707,0,0
AZ,1985,4,21580,0.0413809,,0,0,1,0,13280,34.33136,0,0
AZ,1986,4,22665,0.0444297,,0,0,1,0,13980,34.47534,0,0
AZ,1987,4,31729,0.0295944,,1,0,1,0,14631,34.54303,0,0
AZ,1988,4,34247,0.0275645,,1,0,1,0,15246,34.65613,0,0
AZ,1989,4,34816,0.025247,,1,0,1,0,15919,34.70411,0,0
AZ,1990,4,35456,0.0245093,0.55,1,0,1,0,16608,34.88562,0,0
AZ,1991,4,34929,0.0233617,0.65,1,0,1,0,16971,35.00491,0,1
AZ,1992,4,35047,0.0230833,0.73,1,0,1,0,17583,35.19247,0,1
AZ,1993,4,39150,0.0204598,0.73,1,0,1,0,18270,35.28326,0,1
AZ,1994,4,38774,0.0233146,0.6,1,0,1,0,19127,35.49593,0,1
AZ,1995,4,39653,0.0261014,0.6,1,1,1,0,20078,35.49486,0,1
AZ,1996,4,42123,0.0235976,0.56,1,1,1,0,21071,35.55243,0,1
AZ,1997,4,43491,0.0218666,0.63,1,1,1,0,21998,35.70044,0,1
CA,1983,6,182652,0.0250367,,0,0,1,0,14258,33.73746,0,0
CA,1984,6,196537,0.0255423,,0,0,1,0,15593,33.78443,0,0
CA,1985,6,207600,0.0238921,0.258,0,0,1,0,16523,33.80183,0,0
CA,1986,6,214913,0.0244424,0.4543,0,0,1,0,17255,33.81114,0,1
CA,1987,6,226301,0.0243216,0.481,1,0,1,0,18175,33.82216,0,1
CA,1988,6,241575,0.0223202,0.5085,1,0,1,0,19263,33.80381,0,1
CA,1989,6,251482,0.0215204,0.533,1,0,1,0,20226,33.75921,0,1
CA,1990,6,258926,0.0200521,0.571,1,0,1,1,21363,33.83672,0,1
CA,1991,6,257976,0.0181722,0.5935,1,0,1,1,21491,33.79849,0,1
CA,1992,6,262548,0.0159666,0.666,1,0,1,1,22191,33.89958,0,1
CA,1993,6,266408,0.0156302,0.813,1,0,1,1,22430,33.98206,0,1
CA,1994,6,271943,0.0155621,0.827,1,0,1,1,22953,34.054,0,1
CA,1995,6,276371,0.015168,0.817,1,1,1,1,23983,34.17737,0,1
CA,1996,6,278043,0.0143467,0.845,1,1,1,1,25142,34.29433,0,1
CA,1997,6,285612,0.0129126,0.852,1,1,1,1,26314,34.48209,0,1
CO,1983,8,24109,0.026795,,0,0,0,0,13460,32.60923,0,0
CO,1984,8,24588,0.0247275,,0,0,0,0,14597,32.79044,0,0
CO,1985,8,26146,0.0221449,,0,0,0,0,15224,32.94546,0,0
CO,1986,8,26382,0.0228565,,0,0,0,0,15571,33.11536,0,0
CO,1987,8,26968,0.0219149,,1,0,1,0,16147,33.29124,0,1
CO,1988,8,27665,0.0179649,,1,0,1,0,16985,33.52192,0,1
CO,1989,8,27577,0.0191101,,1,0,1,0,18110,33.77364,0,1
CO,1990,8,27178,0.0200162,0.5,1,0,1,0,19290,34.01883,0,1
CO,1991,8,27744,0.0195718,0.51,1,0,1,0,20099,34.17677,0,1
CO,1992,8,28927,0.0180454,0.5,1,0,1,0,21005,34.34635,0,1
CO,1993,8,32718,0.0170854,0.53,1,0,1,0,22117,34.55241,0,1
CO,1994,8,33705,0.0173861,0.54,1,0,1,0,23019,34.78416,0,1
CO,1995,8,35058,0.0183981,0.56,1,0,1,0,24304,34.98942,0,1
CO,1996,8,36141,0.017072,0.56,1,0,1,0,25627,35.19139,0,1
