Black,Hispanic,Female,Amount,MPHover,Age,OutTown,OutState,StatePol
0,0,1,NA,14,22,1,0,0
0,0,1,NA,15,43,1,0,0
0,0,1,NA,15,32,0,0,0
0,0,0,NA,13,24,1,0,0
0,0,0,NA,12,54,1,0,0
0,0,0,NA,17,30,1,0,0
0,0,1,NA,15,18,0,0,0
0,0,0,NA,15,53,0,0,0
0,0,1,NA,15,51,1,0,0
0,0,0,NA,15,33,1,0,0
0,0,0,NA,13,48,1,0,0
0,0,0,NA,11,36,1,0,0
0,0,1,NA,15,31,1,0,0
0,0,1,NA,15,45,1,0,0
0,0,1,NA,13,41,1,0,0
0,0,0,NA,13,39,1,0,0
0,0,0,50,28,22,1,0,0
0,0,0,NA,14,54,1,0,0
0,0,0,NA,12,28,1,0,0
0,0,1,NA,14,46,1,1,0
0,0,0,50,12,41,1,0,0
0,0,0,NA,15,20,0,0,0
0,0,0,NA,13,35,0,0,0
0,0,1,NA,15,19,0,0,0
0,0,0,NA,15,30,1,0,0
0,0,0,NA,15,19,0,0,0
0,0,1,NA,15,43,1,0,0
0,0,0,NA,15,29,1,0,0
0,0,0,NA,12,36,1,0,0
0,0,0,NA,14,52,1,0,0
0,0,0,NA,15,36,1,0,0
0,0,0,NA,12,18,1,0,0
0,0,0,NA,15,36,1,0,0
0,0,0,125,15,20,1,0,0
0,0,1,NA,14,46,1,0,0
0,0,1,50,21,22,1,0,0
0,0,0,NA,13,53,1,0,0
0,0,1,NA,15,37,1,0,0
0,0,1,NA,15,42,0,0,0
0,0,0,NA,15,41,1,0,0
0,0,1,NA,15,27,1,0,0
0,1,0,50,16,43,1,0,0
0,0,0,NA,13,29,1,0,0
0,0,0,NA,12,18,1,0,0
0,0,1,NA,15,20,1,0,0
0,0,1,NA,15,43,1,0,0
0,0,0,NA,15,60,1,0,0
0,0,1,NA,15,50,0,0,0
0,0,0,NA,13,39,1,0,0
0,0,0,100,15,22,1,0,0
0,0,0,NA,10,65,1,0,0
0,0,0,NA,13,28,1,0,0
0,0,1,NA,15,33,1,0,0
0,0,0,NA,13,45,1,0,0
0,0,1,175,20,60,1,0,0
0,0,1,NA,13,19,1,0,0
0,0,1,NA,15,22,1,0,0
0,0,1,NA,14,20,1,0,0
0,0,1,NA,15,28,1,0,0
0,0,0,NA,18,36,1,0,0
0,0,1,165,19,29,1,0,0
0,0,1,NA,15,41,1,0,0
1,0,0,NA,15,36,1,0,0
0,0,0,175,20,42,0,0,0
0,0,1,115,14,19,1,1,0
0,0,0,75,5,19,1,0,0
1,0,1,75,10,36,1,0,1
0,0,1,145,17,53,1,0,0
0,0,1,125,15,51,1,0,0
0,0,1,75,10,49,0,0,0
0,0,0,115,14,20,1,0,0
0,0,0,125,15,47,1,0,0
0,0,1,75,10,19,0,0,0
0,0,0,215,24,25,1,0,0
0,0,1,75,10,48,1,0,0
0,0,0,75,10,20,0,0,0
0,0,1,75,10,32,1,0,0
0,0,0,75,10,47,0,0,0
0,0,0,155,18,19,1,0,0
0,0,0,125,15,55,1,0,0
0,0,1,100,15,49,1,0,0
0,0,0,135,16,26,1,0,0
0,0,1,75,10,19,1,0,0
0,0,0,275,30,31,1,0,1
1,0,0,NA,15,21,1,0,1
0,0,1,75,10,18,1,0,0
0,0,1,75,10,41,1,0,0
0,0,0,255,28,30,1,0,0
1,0,0,75,10,25,1,0,0
