resid,Female,watchnat,ReadNews,pnintst,Education,income,Voted,prop,infopro,WatchProgram,learnpro,TreatmentGroup,prop_dv,InformationLevel,prop_vote,white,partyid,PoliticalInterest
10026410,0,4,2,4,11,5,1,1,1,0,NA,1,0,4,1,1,1,4
10026470,0,6,7,4,9,2,1,1,2,1,2,1,0,3,1,1,2,4
10026540,1,7,7,4,11,3,1,1,2,1,1,1,0,3,1,1,7,4
10026550,1,6,7,4,11,7,1,1,2,1,3,1,0,3,1,1,1,4
10026560,0,6,7,3,11,9,1,1,1,0,NA,0,0,4,1,1,2,3
10026610,0,6,7,2,6,2,0,NA,1,0,NA,1,1,4,NA,1,2,2
10026650,0,7,7,4,12,NA,1,1,2,0,NA,1,0,3,1,0,7,4
10026680,1,1,6,3,12,6,1,2,3,0,NA,0,0,2,0,1,7,3
10026700,1,6,1,3,11,4,1,1,2,0,NA,0,0,3,1,1,6,3
10026770,0,6,6,3,11,6,1,1,3,0,NA,1,0,2,1,0,2,3
10026860,1,6,7,2,12,11,1,1,1,0,NA,0,0,4,1,1,2,2
10026960,0,7,7,4,11,10,1,1,1,0,NA,0,0,4,1,1,1,4
10026970,1,7,1,4,4,NA,1,1,2,0,NA,1,0,3,1,1,6,4
10027000,1,7,6,4,9,4,1,1,1,0,NA,0,0,4,1,1,2,4
10027070,1,7,7,3,7,3,1,1,2,0,NA,1,0,3,1,1,2,3
10027120,1,6,5,3,11,4,1,2,1,0,NA,0,0,4,0,1,3,3
10027130,0,7,6,3,11,7,1,1,2,1,4,1,0,3,1,1,2,3
10027350,1,7,5,3,8,6,1,1,2,0,NA,1,0,3,1,1,1,3
10027490,1,6,3,2,7,5,0,NA,2,0,NA,1,1,3,NA,0,7,2
10027530,1,7,1,2,2,1,0,NA,2,0,NA,1,1,3,NA,1,NA,2
10027580,1,7,7,4,2,3,1,1,1,0,NA,0,0,4,1,0,1,4
10027640,0,6,4,2,11,4,0,NA,2,0,NA,0,1,3,NA,1,2,2
10027690,0,5,7,3,12,11,1,1,1,1,3,1,0,4,1,1,7,3
10027810,1,6,1,2,11,3,0,NA,3,0,NA,1,1,2,NA,0,6,2
10027840,0,6,7,4,9,NA,1,1,1,0,NA,0,0,4,1,0,1,4
10027880,1,6,1,3,9,5,1,2,2,0,NA,0,0,3,0,0,2,3
10027960,1,1,7,3,6,6,1,1,1,0,NA,1,0,4,1,1,2,3
10028080,0,7,7,4,13,NA,1,1,1,1,2,1,0,4,1,1,1,4
10028110,1,2,7,3,11,8,1,1,1,0,NA,1,0,4,1,1,2,3
10028270,0,4,7,4,8,3,1,1,1,0,NA,1,0,4,1,1,2,4
10028320,0,6,2,2,4,4,1,1,3,0,NA,0,0,2,1,1,3,2
10028390,0,NA,6,NA,4,NA,1,1,3,1,2,1,0,2,1,0,1,NA
10028420,0,6,7,4,11,5,1,1,1,1,3,0,0,4,1,1,3,4
10028470,1,7,1,2,4,2,1,2,2,1,2,1,0,3,0,0,6,2
10028480,0,7,7,2,9,11,1,1,4,0,NA,0,0,1,1,0,5,2
10028500,0,7,7,4,9,8,1,1,2,0,NA,0,0,3,1,0,1,4
10028620,1,7,7,4,11,2,1,NA,1,0,NA,0,1,4,NA,1,7,4
10028640,0,7,5,3,11,7,1,1,3,1,3,0,0,2,1,0,3,3
10028750,0,7,6,4,4,5,1,1,1,0,NA,1,0,4,1,1,4,4
10028760,0,6,7,4,12,11,1,1,1,0,NA,1,0,4,1,1,1,4
10028850,1,6,1,3,11,6,1,1,2,0,NA,1,0,3,1,1,2,3
10028890,NA,6,5,3,11,3,1,1,2,0,NA,1,0,3,1,1,5,3
10028950,0,6,4,2,10,4,0,NA,2,0,NA,1,1,3,NA,1,6,2
10029120,0,7,7,4,12,6,1,2,2,1,2,1,0,3,0,1,5,4
10029330,0,6,7,4,12,NA,1,1,2,1,2,1,0,3,1,1,7,4
10029650,0,7,5,2,4,2,NA,NA,3,0,NA,0,1,2,NA,0,4,2
10029690,0,7,1,3,4,10,0,NA,2,0,NA,1,1,3,NA,1,3,3
10029760,1,7,7,4,9,NA,1,1,1,0,NA,0,0,4,1,1,1,4
01002986,1,7,6,3,4,6,1,1,1,0,NA,0,0,4,1,1,1,3
10030040,1,3,5,2,3,NA,1,1,3,0,NA,0,0,2,1,0,NA,2
10030130,0,7,7,4,11,3,1,1,1,0,NA,1,0,4,1,1,1,4
10030160,0,7,7,3,11,4,0,NA,3,0,NA,1,1,2,NA,0,NA,3
10030250,1,7,7,4,11,NA,1,1,1,1,2,1,0,4,1,1,2,4
10030300,1,6,6,3,11,5,1,1,2,0,NA,0,0,3,1,0,7,3
10030350,1,1,5,3,11,NA,1,1,2,1,2,1,0,3,1,1,1,3
10030510,0,7,7,3,11,3,1,1,3,0,NA,1,0,2,1,1,4,3
10030540,0,5,7,3,8,10,0,NA,3,0,NA,1,1,2,NA,1,1,3
10030850,1,7,2,2,8,NA,0,NA,2,0,NA,1,1,3,NA,0,5,2
10030900,1,6,2,3,4,4,0,NA,3,0,NA,0,1,2,NA,1,6,3
10030930,1,7,6,2,11,7,1,1,2,0,NA,1,0,3,1,1,2,2
10031000,1,6,5,3,7,5,1,1,2,0,NA,0,0,3,1,1,7,3
10031060,0,7,7,4,13,4,1,1,1,0,NA,0,0,4,1,1,7,4
10031220,0,7,7,4,11,11,1,1,3,0,NA,0,0,2,1,1,2,4
10031230,1,7,7,3,11,4,1,1,1,1,3,1,0,4,1,1,2,3
10031310,0,7,7,4,9,3,1,1,1,0,NA,1,0,4,1,1,5,4
10031340,0,4,4,2,6,6,1,1,2,0,NA,0,0,3,1,1,2,2
10031470,1,4,4,3,11,10,1,1,2,0,NA,1,0,3,1,1,2,3
10031570,0,7,5,4,9,NA,1,1,2,0,NA,1,0,3,1,0,5,4
10031580,0,7,6,4,9,7,1,1,4,0,NA,0,0,1,1,1,1,4
10031630,0,7,2,3,9,5,1,2,2,0,NA,1,0,3,0,1,3,3
10031670,1,7,6,4,11,11,1,1,1,1,2,1,0,4,1,1,2,4
10031690,0,7,6,2,4,4,1,1,2,0,NA,1,0,3,1,1,2,2
10031710,1,1,6,3,4,11,1,1,3,0,NA,1,0,2,1,0,2,3
561,0,7,6,3,11,3,1,1,2,0,NA,1,0,3,1,1,1,3
10031820,0,7,1,4,12,4,1,1,1,0,NA,0,0,4,1,1,2,4
10031830,1,7,1,3,4,1,0,NA,1,0,NA,1,1,4,NA,0,1,3
10031860,1,6,5,4,9,5,0,NA,2,0,NA,0,1,3,NA,1,1,4
10031900,1,4,5,2,10,2,1,1,2,0,NA,0,0,3,1,1,4,2
10031940,1,7,7,3,11,10,1,1,1,0,NA,0,0,4,1,1,3,3
10031970,1,6,5,3,4,2,1,2,3,1,3,1,0,2,0,0,6,3
10032040,0,6,5,3,12,6,1,1,1,0,NA,1,0,4,1,0,2,3
10032150,0,7,7,4,7,6,1,1,1,1,3,1,0,4,1,0,6,4
