nr,year,lwage,married,union,educ,black,hisp,exper
13,1980,1.1975401639938354,0,0,14,0,0,1
13,1981,1.853060007095337,0,1,14,0,0,2
13,1982,1.3444616794586182,0,0,14,0,0,3
13,1983,1.4332133531570435,0,0,14,0,0,4
13,1984,1.5681251287460327,0,0,14,0,0,5
13,1985,1.6998909711837769,0,0,14,0,0,6
13,1986,-0.7202625870704651,0,0,14,0,0,7
13,1987,1.6691879034042358,0,0,14,0,0,8
17,1980,1.6759624481201172,0,0,13,0,0,4
17,1981,1.5183981657028198,0,0,13,0,0,5
17,1982,1.5591905117034912,0,0,13,0,0,6
17,1983,1.7254101037979126,0,0,13,0,0,7
17,1984,1.622022271156311,0,0,13,0,0,8
17,1985,1.6085882186889648,0,0,13,0,0,9
17,1986,1.5723854303359985,0,0,13,0,0,10
17,1987,1.8203338384628296,0,0,13,0,0,11
18,1980,1.5159627199172974,1,0,12,0,0,4
18,1981,1.7353790998458862,1,0,12,0,0,5
18,1982,1.6317436695098877,1,0,12,0,0,6
18,1983,1.9982287883758545,1,0,12,0,0,7
18,1984,2.184014320373535,1,0,12,0,0,8
18,1985,2.266662120819092,1,0,12,0,0,9
18,1986,2.069943904876709,1,0,12,0,0,10
18,1987,2.8731608390808105,1,0,12,0,0,11
45,1980,1.8941149711608887,0,1,12,0,0,2
45,1981,1.4711593389511108,0,1,12,0,0,3
45,1982,1.4734975099563599,0,0,12,0,0,4
45,1983,1.740914225578308,0,0,12,0,0,5
45,1984,1.8232136964797974,0,0,12,0,0,6
45,1985,1.9082728624343872,0,0,12,0,0,7
45,1986,1.7424473762512207,0,0,12,0,0,8
45,1987,2.1356890201568604,1,0,12,0,0,9
110,1980,1.948774814605713,0,1,12,0,0,5
110,1981,1.962259292602539,0,0,12,0,0,6
110,1982,1.9632967710494995,0,0,12,0,0,7
110,1983,2.2025156021118164,0,0,12,0,0,8
110,1984,2.1349542140960693,1,0,12,0,0,9
110,1985,2.1258227825164795,1,0,12,0,0,10
110,1986,1.9910166263580322,1,0,12,0,0,11
110,1987,2.112393379211426,1,0,12,0,0,12
120,1980,0.2585548758506775,0,0,10,0,0,2
120,1981,1.3199716806411743,0,0,10,0,0,3
120,1982,1.462085247039795,0,0,10,0,0,4
120,1983,1.3202868700027466,0,0,10,0,0,5
120,1984,1.7036465406417847,0,0,10,0,0,6
120,1985,1.445803165435791,0,0,10,0,0,7
120,1986,1.8063640594482422,0,0,10,0,0,8
120,1987,2.148120164871216,0,0,10,0,0,9
126,1980,1.7372854948043823,0,0,13,0,0,2
126,1981,1.9896008968353271,0,0,13,0,0,3
