zip,median,pop,score,contact
01001,56663,16445,35.5,11
01002,49853,28069,30.8,9
01003,28462,8491,19.5,6
01005,75423,4798,43.9,10
01007,79076,12962,49,16
01008,63980,1244,31.5,10
01009,51452,889,17.5,2
01010,75625,3340,36.8,10
01011,63476,1323,28.3,9
01012,58750,677,20.2,8
01013,36578,22907,20.6,4
01020,50058,29626,25.9,7
01022,50440,2124,33.7,6
01026,60320,1052,35.8,8
01027,58573,17452,22.8,8
01028,80252,14143,42.4,12
01029,62955,663,25.9,9
01030,71106,11702,38.9,9
01031,61250,1192,26.6,9
01032,67692,498,27.8,6
01034,63980,1910,25.8,4
01035,69911,4801,29.6,5
01036,78869,5089,30.6,9
01037,61250,627,38.3,7
01038,53939,2557,18.4,3
01039,66284,1291,30.1,6
01040,35549,39827,17.7,4
01050,62097,2380,26.2,4
01053,60477,1720,27.6,9
01054,67831,1656,41.5,11
01056,63318,21205,31,5
01057,73254,8474,33.4,6
01060,48069,15578,23.1,5
01062,60686,11283,30.6,9
01063,40694,393,15.6,3
01066,53939,71,34,11
01068,77396,1651,37.1,11
01069,50345,8789,21.7,4
01070,60320,573,20.5,5
01071,63980,1518,24.6,4
01072,67831,1503,35.4,10
01073,80738,5366,52.6,16
01074,75423,315,37.7,9
01075,63053,17179,36.9,8
01077,73645,8842,31.8,8
01079,51452,625,27.2,7
01080,50100,2208,16.1,2
01081,65917,1581,35.6,7
01082,51936,10125,29.8,9
01083,55030,2887,20,5
01084,58750,158,30.2,9
01085,57598,40392,32.1,9
01086,93611,323,37.8,11
01088,53939,622,33.8,10
01089,53711,27894,22,8
01092,55030,1215,30.3,7
01093,59722,340,39.4,11
01094,61250,340,40.6,11
01095,89486,13572,52.4,17
01096,66148,2143,44,10
01097,63980,113,35.2,8
01098,60320,1212,33.1,7
01103,16963,2731,13.2,6
01104,35380,22078,24,8
01105,17756,12816,13.3,3
01106,91889,15880,58.4,13
01107,23557,11615,12.8,2
01108,37411,26060,26,8
01109,34638,30683,17.5,3
01118,55853,14283,21.4,8
01119,45184,13170,26.9,5
01128,63177,3040,28.6,8
01129,58704,6982,26.1,5
01151,34175,8302,9.1,3
01199,48306,14,32.2,7
01201,46765,43838,32.6,9
01220,38379,8947,25.8,9
01222,47145,821,18.2,5
01223,48478,2287,31.8,5
01224,66458,197,26.2,4
01225,57419,3264,21.1,3
01226,57505,7099,19.8,7
01229,55096,129,19.1,3
01230,53584,8654,31.9,9
01235,63877,2597,22.3,4
01236,55718,1656,22.3,3
01237,69659,2426,40.2,15
01238,51053,6110,20.6,8
01240,60458,4787,37.3,11
01242,60604,254,31.2,9
01243,60320,360,30.7,8
01244,57917,136,30.6,11
01245,63152,989,26,7
01247,38405,16957,18.1,7
01253,62955,607,27.8,4
01254,79145,1070,36.4,10
01255,62955,824,24,7
01256,54167,701,20.8,4
01257,47145,2223,19,4
01258,55764,401,25.9,4
01259,57917,640,32.2,10
01260,53297,225,21.9,5
01262,55096,1357,28,9
01264,63250,160,22.9,4
01266,64328,1681,39.3,11
01267,69925,8683,43.1,12
01270,70662,761,38.3,7
01301,47833,18444,30.3,9
01330,70326,1512,43.9,15
01331,49110,12856,29,8
01337,57550,2649,28.4,6
01338,56596,184,32.5,8
01339,6531,181,7.7,1
01341,70326,1743,39.8,12
01342,61912,1140,24.8,4
01343,54167,73,27.4,4
01344,54836,1216,32.1,8
01347,50189,214,15.1,6
01349,51401,1116,33.4,7
01351,50189,2301,26.6,9
01354,57550,1367,29.1,10
